x,y
0,-0.244
0.001,-0.242
0.002,-0.241
0.003,-0.241
0.004,-0.232
0.005,-0.226
0.006,-0.225
0.007,-0.234
0.008,-0.234
0.009,-0.224
0.01,-0.221
0.011,-0.227
0.012,-0.232
0.013,-0.237
0.014,-0.244
0.015,-0.237
0.016,-0.224
0.017,-0.227
0.018,-0.227
0.019,-0.228
0.02,-0.233
0.021,-0.226
0.022,-0.226
0.023,-0.211
0.024,-0.213
0.025,-0.224
0.026,-0.22
0.027,-0.216
0.028,-0.2
0.029,-0.197
0.03,-0.197
0.031,-0.209
0.032,-0.238
0.033,-0.252
0.034,-0.238
0.035,-0.227
0.036,-0.234
0.037,-0.255
0.038,-0.247
0.039,-0.231
0.04,-0.23
0.041,-0.22
0.042,-0.214
0.043,-0.214
0.044,-0.228
0.045,-0.225
0.046,-0.213
0.047,-0.201
0.048,-0.206
0.049,-0.228
0.05,-0.219
0.051,-0.215
0.052,-0.215
0.053,-0.222
0.054,-0.232
0.055,-0.228
0.056,-0.219
0.057,-0.221
0.058,-0.227
0.059,-0.227
0.06,-0.229
0.061,-0.232
0.062,-0.235
0.063,-0.224
0.064,-0.213
0.065,-0.216
0.066,-0.211
0.067,-0.212
0.068,-0.218
0.069,-0.211
0.07,-0.203
0.071,-0.201
0.072,-0.204
0.073,-0.231
0.074,-0.233
0.075,-0.217
0.076,-0.222
0.077,-0.225
0.078,-0.213
0.079,-0.208
0.08,-0.214
0.081,-0.211
0.082,-0.208
0.083,-0.208
0.084,-0.21
0.085,-0.215
0.086,-0.211
0.087,-0.204
0.088,-0.193
0.089,-0.177
0.09,-0.201
0.091,-0.19
0.092,-0.162
0.093,-0.193
0.094,-0.2
0.095,-0.195
0.096,-0.188
0.097,-0.194
0.098,-0.212
0.099,-0.192
0.1,-0.167
0.101,-0.162
0.102,-0.168
0.103,-0.162
0.104,-0.157
0.105,-0.166
0.106,-0.151
0.107,-0.146
0.108,-0.152
0.109,-0.146
0.11,-0.141
0.111,-0.142
0.112,-0.145
0.113,-0.161
0.114,-0.156
0.115,-0.139
0.116,-0.136
0.117,-0.137
0.118,-0.154
0.119,-0.135
0.12,-0.117
0.121,-0.124
0.122,-0.125
0.123,-0.139
0.124,-0.12
0.125,-0.091
0.126,-0.088
0.127,-0.089
0.128,-0.093
0.129,-0.077
0.13,-0.078
0.131,-0.09
0.132,-0.097
0.133,-0.099
0.134,-0.094
0.135,-0.102
0.136,-0.092
0.137,-0.092
0.138,-0.082
0.139,-0.075
0.14,-0.079
0.141,-0.067
0.142,-0.072
0.143,-0.059
0.144,-0.052
0.145,-0.051
0.146,-0.049
0.147,-0.047
0.148,-0.038
0.149,-0.034
0.15,-0.014
0.151,-0.019
0.152,-0.029
0.153,-0.037
0.154,-0.025
0.155,-0.011
0.156,-0.017
0.157,-0.021
0.158,-0.055
0.159,-0.065
0.16,-0.04
0.161,-0.007
0.162,-0.034
0.163,-0.051
0.164,-0.03
0.165,-0.037
0.166,-0.036
0.167,-0.02
0.168,0.001
0.169,0.011
0.17,0.005
0.171,-0.017
0.172,-0.024
0.173,-0.013
0.174,0.003
0.175,-0.013
0.176,-0.022
0.177,-0.021
0.178,-0.033
0.179,-0.034
0.18,-0.04
0.181,-0.018
0.182,-0.011
0.183,-0.011
0.184,0
0.185,-0.003
0.186,-0.013
0.187,-0.018
0.188,-0.018
0.189,-0.02
0.19,-0.022
0.191,-0.028
0.192,-0.022
0.193,-0.031
0.194,-0.041
0.195,-0.046
0.196,-0.046
0.197,-0.042
0.198,-0.038
0.199,-0.026
0.2,-0.035
0.201,-0.037
0.202,-0.035
0.203,-0.04
0.204,-0.045
0.205,-0.049
0.206,-0.04
0.207,-0.026
0.208,-0.029
0.209,-0.029
0.21,-0.033
0.211,-0.064
0.212,-0.054
0.213,-0.054
0.214,-0.06
0.215,-0.048
0.216,-0.065
0.217,-0.081
0.218,-0.08
0.219,-0.075
0.22,-0.083
0.221,-0.076
0.222,-0.074
0.223,-0.077
0.224,-0.074
0.225,-0.08
0.226,-0.084
0.227,-0.083
0.228,-0.083
0.229,-0.095
0.23,-0.08
0.231,-0.079
0.232,-0.092
0.233,-0.095
0.234,-0.086
0.235,-0.075
0.236,-0.098
0.237,-0.099
0.238,-0.09
0.239,-0.101
0.24,-0.106
0.241,-0.11
0.242,-0.116
0.243,-0.111
0.244,-0.102
0.245,-0.099
0.246,-0.112
0.247,-0.108
0.248,-0.086
0.249,-0.084
0.25,-0.102
0.251,-0.132
0.252,-0.12
0.253,-0.105
0.254,-0.112
0.255,-0.12
0.256,-0.146
0.257,-0.161
0.258,-0.137
0.259,-0.132
0.26,-0.142
0.261,-0.144
0.262,-0.15
0.263,-0.14
0.264,-0.13
0.265,-0.126
0.266,-0.131
0.267,-0.12
0.268,-0.117
0.269,-0.119
0.27,-0.124
0.271,-0.153
0.272,-0.161
0.273,-0.153
0.274,-0.146
0.275,-0.149
0.276,-0.16
0.277,-0.171
0.278,-0.165
0.279,-0.167
0.28,-0.157
0.281,-0.135
0.282,-0.141
0.283,-0.143
0.284,-0.151
0.285,-0.157
0.286,-0.16
0.287,-0.14
0.288,-0.126
0.289,-0.147
0.29,-0.146
0.291,-0.152
0.292,-0.163
0.293,-0.171
0.294,-0.172
0.295,-0.165
0.296,-0.183
0.297,-0.188
0.298,-0.172
0.299,-0.176
0.3,-0.172
0.301,-0.168
0.302,-0.172
0.303,-0.171
0.304,-0.167
0.305,-0.16
0.306,-0.161
0.307,-0.168
0.308,-0.191
0.309,-0.184
0.31,-0.162
0.311,-0.177
0.312,-0.2
0.313,-0.197
0.314,-0.186
0.315,-0.188
0.316,-0.184
0.317,-0.181
0.318,-0.184
0.319,-0.203
0.32,-0.194
0.321,-0.172
0.322,-0.19
0.323,-0.191
0.324,-0.17
0.325,-0.164
0.326,-0.168
0.327,-0.169
0.328,-0.178
0.329,-0.172
0.33,-0.174
0.331,-0.2
0.332,-0.204
0.333,-0.183
0.334,-0.165
0.335,-0.181
0.336,-0.171
0.337,-0.17
0.338,-0.2
0.339,-0.194
0.34,-0.186
0.341,-0.182
0.342,-0.178
0.343,-0.174
0.344,-0.173
0.345,-0.176
0.346,-0.176
0.347,-0.175
0.348,-0.179
0.349,-0.174
0.35,-0.178
0.351,-0.188
0.352,-0.186
0.353,-0.194
0.354,-0.194
0.355,-0.195
0.356,-0.2
0.357,-0.193
0.358,-0.195
0.359,-0.196
0.36,-0.192
0.361,-0.2
0.362,-0.195
0.363,-0.18
0.364,-0.181
0.365,-0.181
0.366,-0.182
0.367,-0.181
0.368,-0.181
0.369,-0.181
0.37,-0.178
0.371,-0.188
0.372,-0.191
0.373,-0.192
0.374,-0.203
0.375,-0.199
0.376,-0.198
0.377,-0.201
0.378,-0.198
0.379,-0.228
0.38,-0.23
0.381,-0.229
0.382,-0.217
0.383,-0.183
0.384,-0.191
0.385,-0.185
0.386,-0.183
0.387,-0.174
0.388,-0.184
0.389,-0.192
0.39,-0.181
0.391,-0.196
0.392,-0.194
0.393,-0.197
0.394,-0.193
0.395,-0.192
0.396,-0.203
0.397,-0.208
0.398,-0.194
0.399,-0.196
0.4,-0.206
0.401,-0.188
0.402,-0.185
0.403,-0.217
0.404,-0.234
0.405,-0.175
0.406,-0.151
0.407,-0.18
0.408,-0.184
0.409,-0.188
0.41,-0.185
0.411,-0.183
0.412,-0.186
0.413,-0.19
0.414,-0.195
0.415,-0.194
0.416,-0.19
0.417,-0.189
0.418,-0.188
0.419,-0.193
0.42,-0.18
0.421,-0.173
0.422,-0.192
0.423,-0.19
0.424,-0.173
0.425,-0.174
0.426,-0.188
0.427,-0.188
0.428,-0.193
0.429,-0.186
0.43,-0.172
0.431,-0.176
0.432,-0.177
0.433,-0.172
0.434,-0.176
0.435,-0.181
0.436,-0.193
0.437,-0.202
0.438,-0.186
0.439,-0.195
0.44,-0.201
0.441,-0.175
0.442,-0.175
0.443,-0.187
0.444,-0.183
0.445,-0.184
0.446,-0.174
0.447,-0.163
0.448,-0.175
0.449,-0.181
0.45,-0.174
0.451,-0.174
0.452,-0.179
0.453,-0.163
0.454,-0.184
0.455,-0.195
0.456,-0.184
0.457,-0.202
0.458,-0.182
0.459,-0.184
0.46,-0.19
0.461,-0.182
0.462,-0.188
0.463,-0.184
0.464,-0.168
0.465,-0.155
0.466,-0.155
0.467,-0.161
0.468,-0.169
0.469,-0.175
0.47,-0.177
0.471,-0.174
0.472,-0.186
0.473,-0.191
0.474,-0.163
0.475,-0.146
0.476,-0.153
0.477,-0.158
0.478,-0.149
0.479,-0.149
0.48,-0.148
0.481,-0.139
0.482,-0.143
0.483,-0.127
0.484,-0.136
0.485,-0.139
0.486,-0.118
0.487,-0.114
0.488,-0.118
0.489,-0.112
0.49,-0.105
0.491,-0.119
0.492,-0.092
0.493,-0.098
0.494,-0.101
0.495,-0.089
0.496,-0.115
0.497,-0.106
0.498,-0.101
0.499,-0.13
0.5,-0.133
0.501,-0.126
0.502,-0.128
0.503,-0.126
0.504,-0.128
0.505,-0.13
0.506,-0.138
0.507,-0.131
0.508,-0.129
0.509,-0.126
0.51,-0.137
0.511,-0.163
0.512,-0.157
0.513,-0.142
0.514,-0.115
0.515,-0.101
0.516,-0.111
0.517,-0.116
0.518,-0.107
0.519,-0.111
0.52,-0.111
0.521,-0.107
0.522,-0.118
0.523,-0.118
0.524,-0.118
0.525,-0.129
0.526,-0.14
0.527,-0.145
0.528,-0.147
0.529,-0.133
0.53,-0.137
0.531,-0.155
0.532,-0.163
0.533,-0.17
0.534,-0.175
0.535,-0.178
0.536,-0.179
0.537,-0.183
0.538,-0.18
0.539,-0.182
0.54,-0.182
0.541,-0.185
0.542,-0.182
0.543,-0.18
0.544,-0.181
0.545,-0.177
0.546,-0.182
0.547,-0.188
0.548,-0.185
0.549,-0.19
0.55,-0.214
0.551,-0.21
0.552,-0.189
0.553,-0.194
0.554,-0.209
0.555,-0.211
0.556,-0.218
0.557,-0.21
0.558,-0.215
0.559,-0.241
0.56,-0.226
0.561,-0.226
0.562,-0.218
0.563,-0.206
0.564,-0.193
0.565,-0.189
0.566,-0.209
0.567,-0.196
0.568,-0.194
0.569,-0.188
0.57,-0.172
0.571,-0.188
0.572,-0.203
0.573,-0.214
0.574,-0.22
0.575,-0.224
0.576,-0.22
0.577,-0.206
0.578,-0.198
0.579,-0.204
0.58,-0.214
0.581,-0.217
0.582,-0.212
0.583,-0.197
0.584,-0.203
0.585,-0.219
0.586,-0.209
0.587,-0.2
0.588,-0.2
0.589,-0.197
0.59,-0.202
0.591,-0.2
0.592,-0.2
0.593,-0.209
0.594,-0.207
0.595,-0.208
0.596,-0.218
0.597,-0.217
0.598,-0.217
0.599,-0.229
0.6,-0.233
0.601,-0.245
0.602,-0.26
0.603,-0.265
0.604,-0.274
0.605,-0.282
0.606,-0.292
0.607,-0.303
0.608,-0.318
0.609,-0.323
0.61,-0.332
0.611,-0.344
0.612,-0.358
0.613,-0.368
0.614,-0.363
0.615,-0.362
0.616,-0.352
0.617,-0.337
0.618,-0.31
0.619,-0.296
0.62,-0.273
0.621,-0.24
0.622,-0.211
0.623,-0.168
0.624,-0.132
0.625,-0.088
0.626,-0.049
0.627,-0.018
0.628,0.023
0.629,0.072
0.63,0.107
0.631,0.153
0.632,0.215
0.633,0.242
0.634,0.271
0.635,0.302
0.636,0.315
0.637,0.325
0.638,0.316
0.639,0.319
0.64,0.338
0.641,0.344
0.642,0.344
0.643,0.345
0.644,0.325
0.645,0.281
0.646,0.228
0.647,0.18
0.648,0.145
0.649,0.117
0.65,0.122
0.651,0.128
0.652,0.118
0.653,0.111
